25	25
18.00	19.00	0.302
18.00	20.00	0.305
18.00	21.00	0.301
18.00	22.00	0.295
18.00	23.00	0.295
18.00	24.00	0.294
19.00	0.00	0.176
19.00	1.00	0.176
19.00	2.00	0.173
19.00	3.00	0.170
19.00	4.00	0.004
19.00	5.00	0.002
19.00	6.00	0.002
19.00	7.00	0.004
19.00	8.00	0.167
19.00	9.00	0.170
19.00	10.00	0.170
19.00	11.00	0.170
19.00	12.00	0.018
19.00	13.00	0.024
19.00	14.00	0.025
19.00	15.00	0.014
19.00	16.00	0.299
19.00	17.00	0.307
19.00	18.00	0.169
19.00	19.00	0.166
19.00	20.00	0.297
19.00	21.00	0.296
19.00	22.00	0.296
19.00	23.00	0.295
19.00	24.00	0.289
20.00	0.00	0.005
20.00	1.00	0.176
20.00	2.00	0.170
20.00	3.00	0.167
20.00	4.00	0.167
20.00	5.00	0.164
20.00	6.00	0.162
20.00	7.00	0.164
20.00	8.00	0.167
20.00	9.00	0.167
20.00	10.00	0.012
20.00	11.00	0.013
20.00	12.00	0.024
20.00	13.00	0.024
20.00	14.00	0.169
20.00	15.00	0.014
20.00	16.00	0.014
20.00	17.00	0.169
20.00	18.00	0.169
20.00	19.00	0.166
20.00	20.00	0.297
20.00	21.00	0.296
20.00	22.00	0.296
20.00	23.00	0.047
20.00	24.00	0.289
21.00	0.00	0.005
21.00	1.00	0.005
21.00	2.00	0.176
21.00	3.00	0.001
21.00	4.00	0.173
21.00	5.00	0.164
21.00	6.00	0.162
21.00	7.00	0.162
21.00	8.00	0.167
21.00	9.00	0.016
21.00	10.00	0.011
21.00	11.00	0.016
21.00	12.00	0.023
21.00	13.00	0.023
21.00	14.00	0.018
21.00	15.00	0.013
21.00	16.00	0.166
21.00	17.00	0.031
21.00	18.00	0.031
21.00	19.00	0.032
21.00	20.00	0.166
21.00	21.00	0.168
21.00	22.00	0.296
21.00	23.00	0.290
21.00	24.00	0.047
22.00	0.00	0.002
22.00	1.00	0.005
22.00	2.00	0.009
22.00	3.00	0.001
22.00	4.00	0.167
22.00	5.00	0.162
22.00	6.00	0.164
22.00	7.00	0.006
22.00	8.00	0.010
22.00	9.00	0.015
22.00	10.00	0.016
22.00	11.00	0.016
22.00	12.00	0.023
22.00	13.00	0.023
22.00	14.00	0.018
22.00	15.00	0.018
22.00	16.00	0.024
22.00	17.00	0.037
22.00	18.00	0.031
22.00	19.00	0.171
22.00	20.00	0.166
22.00	21.00	0.166
22.00	22.00	0.046
22.00	23.00	0.053
22.00	24.00	0.047
23.00	0.00	0.002
23.00	1.00	0.005
23.00	2.00	0.005
23.00	3.00	0.005
23.00	4.00	0.005
23.00	5.00	0.162
23.00	6.00	0.164
23.00	7.00	0.006
23.00	8.00	0.010
23.00	9.00	0.010
23.00	10.00	0.021
23.00	11.00	0.016
23.00	12.00	0.022
23.00	13.00	0.029
23.00	14.00	0.029
23.00	15.00	0.029
23.00	16.00	0.030
23.00	17.00	0.043
23.00	18.00	0.044
23.00	19.00	0.044
23.00	20.00	0.168
23.00	21.00	0.038
23.00	22.00	0.032
23.00	23.00	0.032
23.00	24.00	0.039
24.00	0.00	0.000
24.00	1.00	0.002
24.00	2.00	0.008
24.00	3.00	0.013
24.00	4.00	0.009
24.00	5.00	0.009
24.00	6.00	0.014
24.00	7.00	0.019
24.00	8.00	0.014
24.00	9.00	0.010
24.00	10.00	0.026
24.00	11.00	0.027
24.00	12.00	0.033
24.00	13.00	0.028
24.00	14.00	0.035
24.00	15.00	0.029
24.00	16.00	0.029
24.00	17.00	0.043
24.00	18.00	0.036
24.00	19.00	0.024
24.00	20.00	0.025
24.00	21.00	0.031
24.00	22.00	0.032
24.00	23.00	0.026
24.00	24.00	0.026
