25	25
15.00	22.00	12.000
15.00	23.00	8.990
15.00	24.00	12.100
16.00	0.00	4.770
16.00	1.00	3.850
16.00	2.00	4.380
16.00	3.00	3.510
16.00	4.00	2.240
16.00	5.00	2.970
16.00	6.00	2.980
16.00	7.00	2.920
16.00	8.00	2.390
16.00	9.00	2.690
16.00	10.00	2.270
16.00	11.00	3.210
16.00	12.00	2.240
16.00	13.00	3.770
16.00	14.00	4.750
16.00	15.00	2.070
16.00	16.00	2.520
16.00	17.00	2.050
16.00	18.00	2.110
16.00	19.00	20.200
16.00	20.00	27.100
16.00	21.00	16.800
16.00	22.00	10.800
16.00	23.00	11.700
16.00	24.00	8.130
17.00	0.00	6.000
17.00	1.00	5.550
17.00	2.00	3.690
17.00	3.00	3.040
17.00	4.00	4.280
17.00	5.00	4.640
17.00	6.00	4.450
17.00	7.00	2.410
17.00	8.00	1.710
17.00	9.00	4.560
17.00	10.00	3.210
17.00	11.00	4.270
17.00	12.00	1.610
17.00	13.00	2.740
17.00	14.00	4.400
17.00	15.00	6.000
17.00	16.00	4.750
17.00	17.00	2.110
17.00	18.00	5.700
17.00	19.00	14.500
17.00	20.00	19.300
17.00	21.00	18.200
17.00	22.00	11.000
17.00	23.00	13.100
17.00	24.00	8.370
18.00	0.00	6.430
18.00	1.00	4.560
18.00	2.00	5.360
18.00	3.00	6.250
18.00	4.00	9.490
18.00	5.00	5.410
18.00	6.00	2.220
18.00	7.00	1.940
18.00	8.00	1.580
18.00	9.00	5.140
18.00	10.00	4.800
18.00	11.00	2.040
18.00	12.00	2.600
18.00	13.00	5.060
18.00	14.00	4.960
18.00	15.00	5.430
18.00	16.00	3.790
18.00	17.00	3.660
18.00	18.00	4.700
18.00	19.00	20.500
18.00	20.00	5.250
18.00	21.00	14.000
18.00	22.00	11.400
18.00	23.00	8.260
18.00	24.00	8.580
19.00	0.00	6.120
19.00	1.00	6.330
19.00	2.00	5.630
19.00	3.00	9.860
19.00	4.00	6.620
19.00	5.00	4.710
19.00	6.00	4.860
19.00	7.00	2.050
19.00	8.00	2.640
19.00	9.00	4.280
19.00	10.00	4.360
19.00	11.00	2.410
19.00	12.00	2.130
19.00	13.00	5.340
19.00	14.00	5.890
19.00	15.00	4.710
19.00	16.00	5.230
19.00	17.00	6.130
19.00	18.00	5.420
19.00	19.00	5.270
19.00	20.00	4.320
19.00	21.00	15.700
19.00	22.00	15.100
19.00	23.00	10.300
19.00	24.00	13.400
20.00	0.00	7.460
20.00	1.00	7.290
20.00	2.00	5.540
20.00	3.00	7.270
20.00	4.00	7.420
20.00	5.00	6.970
20.00	6.00	6.580
20.00	7.00	4.410
20.00	8.00	4.340
20.00	9.00	3.840
20.00	10.00	3.290
20.00	11.00	1.890
20.00	12.00	2.930
20.00	13.00	5.940
20.00	14.00	6.640
20.00	15.00	3.800
20.00	16.00	5.000
20.00	17.00	7.540
20.00	18.00	7.720
20.00	19.00	7.800
20.00	20.00	5.170
20.00	21.00	15.200
20.00	22.00	7.130
20.00	23.00	16.000
20.00	24.00	10.600
21.00	0.00	11.300
21.00	1.00	6.850
21.00	2.00	6.270
21.00	3.00	5.070
21.00	4.00	5.970
21.00	5.00	7.050
21.00	6.00	4.800
21.00	7.00	6.240
21.00	8.00	4.970
21.00	9.00	4.230
21.00	10.00	3.660
21.00	11.00	5.910
21.00	12.00	4.850
21.00	13.00	6.800
21.00	14.00	5.710
21.00	15.00	6.060
21.00	16.00	5.660
21.00	17.00	6.930
21.00	18.00	10.100
21.00	19.00	4.190
21.00	20.00	5.450
21.00	21.00	14.400
21.00	22.00	14.600
21.00	23.00	12.200
21.00	24.00	9.370
22.00	0.00	9.820
22.00	1.00	7.720
22.00	2.00	10.800
22.00	3.00	5.620
22.00	4.00	5.260
22.00	5.00	5.290
22.00	6.00	4.060
22.00	7.00	6.350
22.00	8.00	4.860
22.00	9.00	4.540
22.00	10.00	5.580
22.00	11.00	6.290
22.00	12.00	2.640
22.00	13.00	3.510
22.00	14.00	4.410
22.00	15.00	7.510
22.00	16.00	3.970
22.00	17.00	8.420
22.00	18.00	12.000
22.00	19.00	5.220
22.00	20.00	6.420
22.00	21.00	6.160
22.00	22.00	13.300
22.00	23.00	13.100
22.00	24.00	2.610
23.00	0.00	6.970
23.00	1.00	7.430
23.00	2.00	5.470
23.00	3.00	4.590
23.00	4.00	5.000
23.00	5.00	3.320
23.00	6.00	5.300
23.00	7.00	5.030
23.00	8.00	4.420
23.00	9.00	7.030
23.00	10.00	2.260
23.00	11.00	3.030
23.00	12.00	2.790
23.00	13.00	5.220
23.00	14.00	12.100
23.00	15.00	6.210
23.00	16.00	6.100
23.00	17.00	3.180
23.00	18.00	5.160
23.00	19.00	3.700
23.00	20.00	6.410
23.00	21.00	5.650
23.00	22.00	15.600
23.00	23.00	3.970
23.00	24.00	3.100
24.00	0.00	9.580
24.00	1.00	6.060
24.00	2.00	4.010
24.00	3.00	5.400
24.00	4.00	3.550
24.00	5.00	6.060
24.00	6.00	5.160
24.00	7.00	4.570
24.00	8.00	4.880
24.00	9.00	3.690
24.00	10.00	1.650
24.00	11.00	1.690
24.00	12.00	3.060
24.00	13.00	3.280
24.00	14.00	3.570
24.00	15.00	10.100
24.00	16.00	6.080
24.00	17.00	5.630
24.00	18.00	3.810
24.00	19.00	3.250
24.00	20.00	4.810
24.00	21.00	5.720
24.00	22.00	4.000
24.00	23.00	3.190
24.00	24.00	2.510
